District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter,Agency Name,State Name,State Abbr,Agency ID,NumSchools,LowGrade,HighGrade,NumStudents,URL
634320.0,Board Meetings,https://www.sandiegounified.org/a-to-_z_index/board_meetings,0,0,,0,0,SAN DIEGO UNIFIED,California,CA ,634320.0,176.0,Kindergarten,12th Grade,95233.0,https://www.sandi.net
4900030.0,"AGENDAS, MINUTES, DOCUMENTS, & RECORDINGS",https://drive.google.com/drive/folders/1lbhgj4-d9hoawyqe-xrptriqvjkioli4,1,0,,0,0,ALPINE DISTRICT,Utah,UT ,4900030.0,92.0,Prekindergarten,12th Grade,86275.0,https://www.alpineschools.org
4825170.0,Board,https://www.katyisd.org/domain/3847,0,0,,0,0,KATY ISD,Texas,TX ,4825170.0,74.0,Prekindergarten,12th Grade,88368.0,https://www.katyisd.org
1201530.0,,,,,,,,PASCO,Florida,FL ,1201530.0,103.0,Prekindergarten,12th Grade,81157.0,https://www.pasco.k12.fl.us
4819650.0,,,,,,,,FORT BEND ISD,Texas,TX ,4819650.0,86.0,Prekindergarten,12th Grade,77545.0,https://www.fortbend.k12.tx.us
2400090.0,Learn more about Board meetings,https://www.baltimorecityschools.org/board-meetings,0,0,,0,0,BALTIMORE CITY PUBLIC SCHOOLS,Maryland,MD ,2400090.0,156.0,Prekindergarten,12th Grade,77807.0,https://www.baltimorecityschools.org
5102250.0,,,,,,,,LOUDOUN CO PBLC SCHS,Virginia,VA ,5102250.0,98.0,Prekindergarten,12th Grade,81131.0,https://www.lcps.org
4502310.0,Board Meeting LiveStream - 6/13/2023 – 6/13/2023,https://www.greenville.k12.sc.us/news/main.asp?titleid=2306board2,0,0,,0,0,GREENVILLE 01,South Carolina,SC ,4502310.0,92.0,Prekindergarten,12th Grade,76939.0,https://www.greenville.k12.sc.us
4808940.0,,,,,,,,AUSTIN ISD,Texas,TX ,4808940.0,125.0,Prekindergarten,12th Grade,74602.0,https://www.austinisd.org
4900210.0,,,,,,,,DAVIS DISTRICT,Utah,UT ,4900210.0,96.0,Prekindergarten,12th Grade,74486.0,https://vhs.davis.k12.ut.us
4703180.0,Board Meetings,https://www.mnps.org/board-of-education/board-meetings,0,0,,0,0,DAVIDSON COUNTY,Tennessee,TN ,4703180.0,162.0,Prekindergarten,12th Grade,80381.0,https://www.mnps.org
4819700.0,Read Board Meeting Agendas,https://www.fwisd.org/page/5407,0,0,1,0,0,FORT WORTH ISD,Texas,TX ,4819700.0,140.0,Prekindergarten,12th Grade,74850.0,https://www.fwisd.org
1200150.0,Videos - Board Meetings,https://www.brevardschools.org/page/2305,0,1,,1,,BREVARD,Florida,FL ,1200150.0,111.0,Prekindergarten,12th Grade,72497.0,https://www.brevardschools.org
3701920.0,,,,,,,,GUILFORD COUNTY SCHOOLS,North Carolina,NC ,3701920.0,127.0,Prekindergarten,13th Grade,69173.0,https://www.gcsnc.com
1201470.0,Board Meeting Agendas and Resources (Archive),https://www.osceolaschools.net/domain/108,0,0,,0,0,OSCEOLA,Florida,FL ,1201470.0,85.0,Prekindergarten,12th Grade,72427.0,https://www.osceolaschools.net
614550.0,Board Meeting Recaps,https://board.fresnounified.org/recaps,0,,0,0,0,FRESNO UNIFIED,California,CA ,614550.0,100.0,Kindergarten,12th Grade,69873.0,https://www.fresnounified.org
622500.0,,,,,,,,LONG BEACH UNIFIED,California,CA ,622500.0,84.0,Kindergarten,12th Grade,67292.0,https://www.lbschools.net
4815000.0,SSO,https://launchpad.classlink.com/conroeisd,0,0,,0,0,CONROE ISD,Texas,TX ,4815000.0,64.0,Prekindergarten,12th Grade,67761.0,https://www.conroeisd.net
4800211.0,Board Meetings & Agenda,https://ideapublicschools.org/our-story/national-board-of-directors,0,,0,0,0,IDEA PUBLIC SCHOOLS,Texas,TX ,4800211.0,123.0,Prekindergarten,12th Grade,67988.0,https://www.ideapublicschools.org
4820010.0,School Board Meeting,https://www.friscoisd.org/calendar/event-details/2023/11/14/frisco-isd-board-calendar/school-board-meeting,0,0,,0,0,FRISCO ISD,Texas,TX ,4820010.0,75.0,Prekindergarten,12th Grade,65825.0,https://www.friscoisd.org
5103840.0,,,,,,,,VA BEACH CITY PBLC SCHS,Virginia,VA ,5103840.0,87.0,Prekindergarten,12th Grade,65450.0,https://www.vbschools.com
5509600.0,Recordings of Board and Committee Meetings,https://mps.milwaukee.k12.wi.us/en/district/about-mps/school-board/office-of-board-governance/clerk-services/recordings-of-board-and-committee-meetings.htm,1,0,,0,0,MILWAUKEE SCHOOL DISTRICT,Wisconsin,WI ,5509600.0,156.0,Prekindergarten,12th Grade,69115.0,https://www.milwaukee.k12.wi.us
