District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter
631020.0,Board Meeting,https://www.pleasant-valley-school.org/apps/events/2023/8/9/12153762/?rec_id=12153762&id=0,0,,,0,
4845210.0,,,,,,,
600002.0,,,,0.0,,0.0,0.0
409540.0,,,,,,,
5508940.0,Committee Meeting Packets & Minutes,https://www.medford.k12.wi.us/district/meeting-minutes.cfm,0,,,0,
4846710.0,Board,https://www.zcisd.org/apps//apps/pages/index.jsp?urec_id=350710&type=d&prec_id=760861,0,,,0,
5509570.0,,,,,,,
1808850.0,,,,,,,
2630840.0,Board Members & Links,https://www.sandusky.k12.mi.us/apps/pages/index.jsp?urec_id=858214&type=d&prec_id=1221519,0,,,0,0
1100082.0,Get,"https://www.google.com/maps/dir//richard+wright+public+charter+school,+475+school+st+sw,+washington,+dc+20024/@38.884234,-77.0187673,15z/data=!4m16!1m6!3m5!1s0x0:0x75c55208086410e!2srichard+wright+public+charter+school!8m2!3d38.884234!4d-77.0187673!4m8!1m0!1m5!1m1!1s0x89b7b8ebd7c6bf2b:0x75c55208086410e!2m2!1d-77.0187673!2d38.884234!3e3",0,0,,0,0
2603570.0,,,,,,,
2613560.0,HERE,https://http://www.cmdhd.org,1,,,1,
5514520.0,Staff Infinite Campus,https://wicloud2.infinitecampus.org/campus/stockbridge.jsp,0,0,,0,0
620910.0,Request Board Meeting Agendas,https://lcmschools.org//cms/module/selectsurvey/takesurvey.aspx?surveyid=122,0,0,,0,0
5000024.0,Maintenance Requests,https://accounts.zoho.com/signin?servicename=sdpondemand&hide_title=true&hideyahoosignin=true&hidefbconnect=true&hide_secure=true&serviceurl=https%3a%2f%2frivendellschool.sdpondemand.manageengine.com%2fapp%2fopdesk%2fhomepage.do&signupurl=https://rivendellschool.sdpondemand.manageengine.com/accountcreation.do&portal_id=641157176&hide_signup=true,0,,,,
400448.0,June 14 22 Board Strategic Planning Meeting Agenda,https://www.shellya7.sg-host.com///board-members/june-14-22-board-strategic-planning-meeting-agenda,1,0,,0,
3905022.0,Board of Education Minutes,https://www.mcdonald.k12.oh.us//boardofeducationminutes.aspx,2,,,0,
601978.0,here,https://waldorfanswers.org//index.htm,1,1,,0,
3417340.0,Board,https://accounts.google.com/accountchooser?continue=https://sites.google.com/wenonahschool.org/wenonah-boe,0,,,,
5511790.0,School Board Meetings,https://www.pittsville.k12.wi.us/district/board_meetings.cfm,0,0,,0,0
2900605.0,Special Board Meetings,https://momentumacademystl.org/wp-content/uploads/2023/03/special-board-meetings.zip,2,,,,6
